,uEMD
PIK3CA,15.778727480015373
TP53,10.874317274932718
AKT1,2.3700717855580455
PTEN,2.0338247186244747
HIST1H3B,1.9280155899937692
SF3B1,1.897564726313417
CBFB,1.7895980539021377
FOXA1,1.7893660599472376
MAP2K4,1.7868025267455883
ANKHD1-EIF4EBP3,1.7374027282489088
EIF4A2,1.6732713136160566
RUNX1,1.6575371521747775
PALM2-AKAP2,1.65714773375048
STON1,1.6532369785107306
CTCF,1.6240620815823312
XPO1,1.607844047035117
RHOA,1.6059184972094442
NBPF11,1.5823611681889886
CSTF3,1.5771976455927772
AGO2,1.5669418556865027
KRAS,1.5655051502657984
ELAVL1,1.5467898665040498
ERCC5,1.5434624103509074
LGI1,1.5354254769132871
HIST2H2BE,1.5246924422997887
PSMC4,1.5242102262935315
FAM96A,1.512040486259329
CAMK2A,1.500109368578739
MAPRE3,1.4997100075563745
USP12,1.4986610634602893
SUPT16H,1.4977132024445534
UBE2Q1,1.495721368631766
KCNA2,1.4941471239377995
SPPL3,1.4940692402529396
RBM8A,1.4926093354367453
TRA2B,1.492072435141119
ILF2,1.491595190433895
HOXA5,1.480141317460528
AGO1,1.4795696180716662
KCNK9,1.4788537510108306
ATP1A3,1.474800485198785
CDC73,1.473141728421248
HSPA8,1.4730638447363886
TUBB,1.4688481831559135
EIF2S3,1.4678108387575732
NT5C1B,1.4678108387575732
ZNRF1,1.466773494359233
PSMA3,1.4617707104317736
ACTA2,1.460811249718293
HIST1H3G,1.460572627364681
